BCD路径	豫言接口	状态	验证
api.URL.URL	浏览器新建网址、浏览器新建相对网址	部分实测	Chrome 豫言 Wasm 相对网址
api.URL.canParse_static	浏览器网址可解析、浏览器相对网址可解析	已实测	Chrome 豫言 Wasm 有效与无效输入
api.URL.createObjectURL_static	浏览器创建对象网址	已实测	Chrome 豫言 Wasm Blob 调用
api.URL.hash	浏览器网址片段、浏览器网址设片段	已实测	Chrome 豫言 Wasm 写后读取
api.URL.host	浏览器网址主机、浏览器网址设主机	已封装	待逐项行为验收
api.URL.hostname	浏览器网址主机名、浏览器网址设主机名	已封装	待逐项行为验收
api.URL.href	浏览器网址全文、浏览器网址设全文	部分实测	Chrome 豫言 Wasm 读取
api.URL.origin	浏览器网址源	已实测	Chrome 豫言 Wasm 读取
api.URL.parse_static	浏览器解析网址、浏览器解析相对网址	部分实测	Chrome 豫言 Wasm 相对网址
api.URL.password	浏览器网址口令、浏览器网址设口令	已封装	待逐项行为验收
api.URL.pathname	浏览器网址路径、浏览器网址设路径	部分实测	Chrome 豫言 Wasm 读取
api.URL.pathname.encodes_trailing_space_in_opaque_path	浏览器网址路径	待验	需专门的不透明路径尾空格测试
api.URL.port	浏览器网址端口、浏览器网址设端口	已封装	待逐项行为验收
api.URL.protocol	浏览器网址协议、浏览器网址设协议	已封装	待逐项行为验收
api.URL.revokeObjectURL_static	浏览器撤销对象网址	已实测	Chrome 豫言 Wasm Blob 调用
api.URL.search	浏览器网址查询、浏览器网址设查询	部分实测	Chrome 豫言 Wasm searchParams 修改后读取全文
api.URL.searchParams	浏览器网址查询参数	已实测	Chrome 豫言 Wasm 活动对象同步
api.URL.toJSON	浏览器网址转癸象文	已实测	Chrome 豫言 Wasm
api.URL.toString	浏览器网址转文字	已实测	Chrome 豫言 Wasm
api.URL.username	浏览器网址用户、浏览器网址设用户	已封装	待逐项行为验收
api.URLSearchParams.@@iterator	无专门接口	待补	entries 已封装但符号迭代未验
api.URLSearchParams.URLSearchParams.USVString	浏览器新建查询参数	已实测	Chrome 豫言 Wasm 查询字符串
api.URLSearchParams.URLSearchParams	浏览器新建查询参数	已封装	空构造可传空字符串，待专门验收
api.URLSearchParams.URLSearchParams.record	浏览器新建查询参数自记录	已实测	Chrome 豫言 Wasm
api.URLSearchParams.URLSearchParams.sequence	浏览器新建查询参数自项	已实测	Chrome 豫言 Wasm 重复名称
api.URLSearchParams.append	浏览器查询参数追加	已实测	Chrome 豫言 Wasm
api.URLSearchParams.delete	浏览器查询参数删除	已封装	待逐项行为验收
api.URLSearchParams.delete.value_parameter	浏览器查询参数删除值	已实测	Chrome 豫言 Wasm
api.URLSearchParams.entries	浏览器查询参数诸项	已实测	Chrome 豫言 Wasm 数组化枚举
api.URLSearchParams.forEach	无专门接口	待补	回调与遍历时修改语义待实现
api.URLSearchParams.get	浏览器查询参数取	已实测	Chrome 豫言 Wasm
api.URLSearchParams.getAll	浏览器查询参数诸值	已实测	Chrome 豫言 Wasm 重复名称
api.URLSearchParams.has	浏览器查询参数有	已封装	待逐项行为验收
api.URLSearchParams.has.value_parameter	浏览器查询参数有值	已实测	Chrome 豫言 Wasm
api.URLSearchParams.keys	浏览器查询参数诸名	已实测	Chrome 豫言 Wasm 数组化枚举
api.URLSearchParams.set	浏览器查询参数设置	已封装	待逐项行为验收
api.URLSearchParams.size	浏览器查询参数数目	已实测	Chrome 豫言 Wasm
api.URLSearchParams.sort	浏览器查询参数排序	已实测	Chrome 豫言 Wasm
api.URLSearchParams.toString	浏览器查询参数成文	已实测	Chrome 豫言 Wasm
api.URLSearchParams.values	浏览器查询参数诸值游	已实测	Chrome 豫言 Wasm 数组化枚举
