接口	豫言接口	状态	验证	待补
Crypto.randomUUID	浏览器密码随机识别	已验	真实 Chrome 返回 36 字符 UUID	跨浏览器验收
Crypto.getRandomValues	浏览器密码随机字节	已验	真实 Chrome 返回 12 字节	其他整型 TypedArray
SubtleCrypto.digest	浏览器密码摘要	部分	SHA-256(abc) 首字节及长度通过	其他摘要算法
SubtleCrypto.importKey	浏览器密码导入AES、浏览器密码导入HMAC	部分	AES-GCM 与 HMAC 原始钥通过	JWK、SPKI、PKCS8 等格式
SubtleCrypto.encrypt、decrypt	浏览器密码AES加密、浏览器密码AES解密	部分	AES-GCM 含附加认证数据往返通过	其他算法、鉴别失败验收
SubtleCrypto.sign、verify	浏览器密码HMAC签、浏览器密码HMAC验	部分	HMAC 真验与假验通过	其他签名算法
SubtleCrypto.generateKey	浏览器密码生成AES	部分	256 位可导 AES-GCM 密钥生成并用于加密	其他算法与用途组合
SubtleCrypto.exportKey	浏览器密码导出AES	部分	原始字节导出、重新导入并解密	JWK、SPKI、PKCS8 等格式及不可导异常
SubtleCrypto.deriveBits	浏览器密码PBKDF2派生字节、浏览器密码HKDF派生字节	部分	SHA-256 256 位结果首字节与独立结果相符，并用于 AES 解密	其他散列与长度、ECDH 等
SubtleCrypto.deriveKey	浏览器密码PBKDF2派生AES、浏览器密码HKDF派生AES	部分	派生 AES-GCM 密钥加密后由 deriveBits 原始钥解密	其他派生算法与目标钥类型
SubtleCrypto.wrapKey、unwrapKey	无具名豫言接口	待补	未验	密钥封装与解封
CryptoKey 属性	通用句柄接口	部分	无专项验收	类型、算法、可导出性、用途
